1	9783161484100	1	An excellent read!	5	2023-01-15 14:23:00
2	9781234567897	2	Very informative and well-written.	4	2023-02-20 09:45:00
3	9780140449136	3	A bit dull in parts.	3	2023-03-05 12:10:00
4	9780345391803	4	Loved the characters and plot.	5	2023-04-10 18:30:00
5	9780307593699	5	Not what I expected.	2	2023-05-22 11:00:00
6	9780307593705	6	A masterpiece!	5	2023-06-15 16:45:00
7	9781566199094	7	Great for a quick read.	4	2023-07-01 08:20:00
8	9780743273565	8	Couldn’t put it down.	5	2023-08-11 10:15:00
9	9780452284234	9	Very dry and technical.	3	2023-09-30 13:55:00
10	9780743273568	10	An absolute page-turner.	5	2023-10-05 19:40:00
